#Frame       chi1:129     chi2:129
       1    -171.2669      79.2773
       2    -166.7738     102.9279
       3    -161.5059     104.0931
       4     177.3327      96.0453
       5    -164.3580      97.1737
       6    -152.8855      87.0925
       7    -160.0694      73.3923
       8    -158.8382      98.7090
       9    -173.3664     102.2544
      10    -155.6829      87.5001
      11    -170.1088      88.0628
      12    -172.5800      89.2006
      13    -171.5148      94.8361
      14    -173.1112      81.9536
      15    -156.7297      99.9788
      16     175.7318      90.3732
      17     177.5759      93.7114
      18    -155.7588     100.2358
      19    -169.4634      95.1270
      20    -172.8162      92.7128
      21    -157.8751      85.7674
      22    -162.2394      97.1535
      23    -167.7567      94.8799
      24    -167.3265      94.3136
      25    -179.1658      91.2351
      26    -151.5775      74.4640
      27    -174.0666      91.0508
      28    -159.2668     102.3337
      29    -168.0889      92.8483
      30    -159.8453      99.3444
      31    -173.5325     100.0442
      32    -163.4021      91.7166
      33    -162.6727      94.2495
      34    -158.8934      83.0376
      35    -158.8380      82.7064
      36    -176.2750      81.6929
      37    -155.4007      84.7255
      38    -158.3614      98.3952
      39    -175.5168      91.0022
      40    -166.5950      90.6016
      41    -166.5151      88.2968
      42    -175.6785      87.3516
      43    -160.3283      85.8518
      44    -167.3217      97.4383
      45    -169.2670      98.6976
      46    -167.6386      82.9221
      47    -152.6237      88.6147
      48    -169.1664      99.1785
      49    -160.3557      90.7573
      50    -167.8396      89.8169
      51    -172.9931     101.4785
      52    -172.2563      93.4853
      53    -174.0056      94.6638
      54    -164.5506      84.5520
      55    -165.9167      95.1610
      56    -173.6413     101.9280
      57    -171.6852      97.7310
      58    -164.8383      90.9670
      59    -164.9071     101.0254
      60    -174.6769     100.8945
      61    -162.9623      94.5729
      62    -175.0268     114.8422
      63    -171.3885      96.3324
      64    -172.3513      97.1493
      65    -156.3033     103.7669
      66    -155.6584      87.8114
      67    -176.8176     111.0197
      68    -162.6898      84.0534
      69    -160.7594      95.1784
      70    -164.6433      88.7386
      71    -168.5270     100.7163
      72    -158.3303      82.9218
      73    -151.8795      79.0084
      74     -84.7069     112.5515
      75    -156.2642      96.0526
      76    -163.5147      99.0623
      77    -151.2233      89.2383
      78    -156.9012      86.6004
      79    -167.9774     100.1710
      80    -151.9001      88.4611
      81     179.5441      97.6611
      82    -173.0187      92.3941
      83    -157.4636      90.5885
      84    -151.5534      89.2646
      85    -158.3208      93.8070
      86    -165.6035      97.9336
      87    -153.8423     101.6648
      88    -175.7780      97.9058
      89    -177.9220     101.5852
      90    -161.5613      93.9477
      91    -157.5133      91.0823
      92    -171.7209     101.2871
      93    -161.3251      86.5552
      94    -160.3333     101.9410
      95    -157.6248      87.8788
      96    -158.0298      83.6409
      97    -163.6541     105.3139
      98    -160.1852     104.8140
      99    -160.8750      84.3267
     100    -165.0170      87.8517
     101    -170.6957      98.9290
     102    -168.3652      92.0685
     103    -171.5975      97.7410
     104    -146.9506      95.8344
     105    -171.3023      97.4121
     106    -164.0237      88.2743
     107    -171.3488      97.6595
     108    -169.0451      96.9662
     109    -160.3151     106.4141
     110    -152.9825      90.8558
     111    -161.9937      72.9377
     112    -168.1605      89.0342
     113    -170.3778      99.7370
     114    -160.5754      90.7483
     115    -153.6667      95.4130
     116    -158.6874      93.2370
     117    -168.7892     106.9875
     118    -170.2274     100.5242
     119    -152.1474      93.2511
     120     178.8739      79.3507
     121    -158.8274     100.0645
     122    -165.0432      97.9945
     123    -171.0405     102.0334
     124    -141.3771      91.0190
     125    -169.1734     104.4139
     126    -164.1315      99.4516
     127    -162.0397      90.3381
     128    -157.0248     114.3320
     129    -149.8044      99.8094
     130    -177.8354      96.0136
     131    -157.2795     101.5951
     132    -158.8573      83.4887
     133    -157.4074      93.1117
     134    -157.1246      89.4824
     135    -177.3073      81.9463
     136    -170.6443     103.1648
     137    -173.8948      85.3945
     138    -164.7342     106.6492
     139     179.8363      98.7518
     140    -168.1211      94.3673
     141    -153.6060      76.6978
     142    -164.0228      91.6737
     143    -172.1214      99.9703
     144    -163.0725     106.7189
     145    -170.7161      99.3344
     146    -169.4525      88.9181
     147    -163.4304      89.2466
     148    -164.5200     100.9674
     149    -168.3219      97.8074
     150    -163.2877      81.9055
     151    -168.7791      99.0636
     152    -169.2591      97.4261
     153    -148.8046      95.3585
     154    -161.4416      91.9101
     155    -161.2238      97.8446
     156    -159.6716      97.3155
     157    -172.9131     101.8785
     158    -154.3396      99.3987
     159    -147.8416      77.5897
     160    -160.9362      99.7223
     161    -169.5481      92.3665
     162    -165.6997      99.4473
     163    -171.6510      93.3236
     164    -158.4730     101.5116
     165    -160.6086     102.4576
     166    -171.9816      92.3571
     167    -168.2671      94.8220
     168    -170.2680      96.2232
     169    -156.5922      86.8222
     170    -171.6606      83.9761
     171    -157.2611      83.2243
     172    -169.3200      85.7566
     173    -157.0796      82.5668
     174    -134.5377      87.1640
     175    -170.9117      94.0552
     176    -163.8731      93.6777
     177    -156.1774      82.6179
     178    -169.4264      98.4708
     179    -141.6671      56.9402
     180    -153.0448      83.7924
     181    -150.6536      63.5453
     182    -144.8862      81.6069
     183    -150.6171      68.7541
     184    -148.6460      55.2933
     185    -132.1998      73.3354
     186    -116.8637      61.0928
     187    -146.5622      79.8502
     188    -139.4084      88.9293
     189    -132.9628      75.2503
     190     -90.6912      71.1290
     191    -148.5937      78.2547
     192    -147.1257      76.3750
     193    -145.1350      80.2231
     194    -133.9030      82.9879
     195    -138.3313      70.0448
     196    -144.0884      77.4299
     197    -128.7042      80.6991
     198     -91.7204      63.0018
     199    -138.9004      59.4998
     200    -115.3552      75.4235
     201    -128.1197      76.0469
     202    -142.1121      83.5539
     203    -137.2799      72.7152
     204    -112.3693      99.0648
     205    -151.4018      62.1649
     206    -131.8259      74.9893
     207    -133.1562      81.9300
     208    -157.4721      61.7592
     209    -146.9761      63.4633
     210     -69.9716      79.1528
     211    -152.9452      71.1405
     212    -143.9504      66.9621
     213    -138.3665      72.8587
     214    -137.2029      68.4519
     215    -125.7858      74.8405
     216    -132.1013      69.5039
     217    -145.3436      83.0182
     218     -65.5824      85.2696
     219    -130.8628      73.6615
     220     -82.4706      70.3660
     221    -126.6923      61.0826
     222    -105.3581      84.7493
     223    -108.1460      63.7134
     224    -141.4637      72.1296
     225    -132.7756      81.5560
     226    -135.4775      57.1873
     227    -136.5375      66.4831
     228    -147.7790      72.7888
     229    -121.9212      70.5283
     230    -132.1066      73.8141
     231    -114.8609      82.1730
     232    -132.1955      76.6190
     233    -123.2899      79.1340
     234    -140.0419      94.6919
     235    -106.9237      71.5138
     236    -106.0175      80.0900
     237    -141.3428      98.6571
     238     -87.7926      81.1911
     239    -139.8662      76.2060
     240    -140.3684      50.0141
     241    -100.8776      66.5510
     242    -140.4035      60.0372
     243    -111.5143      89.2182
     244    -146.4256      77.4096
     245     -75.5631      89.5889
     246     -80.0095     118.3532
     247    -114.0497      95.2412
     248    -136.4599      71.3689
     249    -112.0854      85.6998
     250     -76.1166      97.6070
     251     -81.9663      92.7420
     252     -78.2101      92.6915
     253    -119.8083      90.9006
     254    -142.7458      77.6551
     255    -125.1212      81.1456
     256     -97.0686      58.9458
     257    -143.1215      83.3941
     258    -123.9115      82.9453
     259    -152.3467      59.3319
     260    -131.9400     106.2955
     261     -81.0233      84.1911
     262     -61.9215     101.4899
     263     -80.0264      88.6471
     264    -158.2360      84.1623
     265    -130.1406      81.3101
     266    -150.3482      78.8125
     267     -88.6197     110.4687
     268    -102.7200      74.1966
     269     -69.9150     114.6116
     270    -112.9821     106.4176
     271     -97.5304      66.8349
     272     -81.4554      87.9222
     273     -73.8766      98.7781
     274    -104.4451      74.9037
     275     -65.6432      83.8500
     276     -78.1264     114.6985
     277     -93.7027      85.2632
     278     -86.7025     100.1318
     279    -107.1165      52.8137
     280     -75.8911      99.9229
     281     -64.4963      82.7925
     282     -74.0160      89.5495
     283     -67.4914     104.9886
     284    -159.1961      89.0771
     285     -98.3810      72.2234
     286    -127.6009      83.4041
     287    -133.8877      93.1835
     288    -120.2945      78.6376
     289    -143.8124      87.5784
     290    -151.6118      76.9788
     291    -135.4934      66.3079
     292    -144.6324      84.0465
     293    -115.0869      92.1096
     294    -145.7057      87.0495
     295    -142.0916      74.9013
     296    -126.0689      79.9913
     297    -138.5954      68.4626
     298    -146.7562      64.0290
     299    -151.9173      71.2423
     300     -89.4771      99.8325
     301    -147.4398      69.5253
     302    -117.1283      61.1396
     303    -106.1869      83.5126
     304    -114.3921      60.8787
     305    -107.7226      63.3958
     306     -84.9617     112.2277
     307     -79.8091     107.8551
     308    -138.0286      57.6905
     309    -133.1432      64.6685
     310    -153.5841      40.9588
     311    -141.6230      64.3411
     312    -133.6197      78.6124
     313    -157.2347      77.8597
     314    -154.4891      81.3954
     315    -149.9053      68.6470
     316    -128.5624      61.7932
     317    -132.3357      71.4418
     318     -93.7005     112.0041
     319     -53.9139     100.5171
     320    -150.6195      77.6092
     321    -158.1915      58.1549
     322    -111.6581      58.4617
     323    -152.4240      84.9913
     324    -142.7051      75.4738
     325    -142.6015      60.9921
     326    -138.9921      68.5698
     327     -99.3959      69.7282
     328    -149.5068      86.4856
     329     -81.0757      96.8339
     330     -80.6806      91.8470
     331     -89.2861      78.8605
     332    -144.7177      81.2130
     333    -143.1727      77.0022
     334     -77.0134     107.1285
     335    -153.3704      93.4628
     336     -88.7257      53.5988
     337     -54.5398      98.8115
     338     -80.7706     105.5009
     339     -96.3637      89.9696
     340    -161.5384      71.2061
     341    -148.6476      70.5633
     342    -135.2268      70.4558
     343    -122.3297      74.4491
     344    -141.0354      65.7177
     345    -118.7934      84.9508
     346    -125.0427      73.3017
     347    -151.7885      94.7485
     348     -73.0445     107.1573
     349    -155.1752      92.3824
     350    -158.3557      83.4189
     351    -122.7888      76.8777
     352    -112.9587      64.1239
     353     -88.1357     107.8640
     354     -74.7727      98.5409
     355     -67.1803     102.4455
     356     -61.4204     108.1635
     357    -144.8718      71.7567
     358    -163.7159      79.3424
     359    -108.7643      80.7228
     360    -143.9529      68.2002
     361    -118.4410      80.7249
     362    -146.5154      75.2459
     363     -96.1661      78.0616
     364    -116.6702      92.2108
     365    -156.0827      60.8701
     366    -175.3059      84.9554
     367     -99.0157      86.3119
     368     -85.8517      77.4853
     369    -131.1007      55.8588
     370     -96.4438      90.3463
     371    -123.0012      82.6629
     372     -68.5734      96.1332
     373     -92.7591      77.5463
     374     -84.8971      95.7329
     375    -134.6798      68.7433
     376     -84.3306      72.0935
     377    -152.9447      88.0765
     378     -96.0096      71.3477
     379     -98.9481      80.9096
     380    -140.9908      74.0946
     381    -123.3292      55.9318
     382    -152.9020      72.3912
     383    -129.6846      82.0780
     384     -79.6826     105.2328
     385    -146.6455      77.9883
     386     -68.0071      87.9662
     387     -98.4038      81.8136
     388    -122.6055      80.6823
     389     -97.8783      79.5695
     390    -101.7460      90.1788
     391    -148.6804      78.4868
     392    -145.0239      75.9385
     393    -132.5764      74.2323
     394     -88.6536     106.8354
     395     -94.8940      72.4026
     396     -86.5226      73.5542
     397     -88.5960      91.4072
     398     -88.0530      84.0474
     399    -108.6074      89.3383
     400    -100.2666     112.8871
     401     -55.2865      98.2597
     402     -90.8440     101.3611
     403    -114.8299      77.5106
     404    -127.9350      76.9530
     405    -103.8814      71.1109
     406    -133.4579      82.6165
     407    -118.1754      99.8922
     408    -126.4121      73.0617
     409    -108.0577      89.0292
     410    -113.9230      76.3941
     411     -99.5866      76.6833
     412    -127.4136      76.8710
     413     -70.1650     115.4130
     414    -110.2734      95.3186
     415     -90.3305      78.2859
     416     -61.7670     110.2046
     417     -80.3628      74.8059
     418    -123.3361      85.6648
     419     -75.6580      93.8232
     420    -144.5117      65.3085
     421    -134.6012      62.5007
     422    -112.7091      69.1767
     423    -101.9942     102.4085
     424    -118.9363      62.6424
     425    -100.0605      70.3181
     426    -128.9956      74.7242
     427     -80.0601     125.2796
     428    -113.9965      75.6667
     429     -86.5124     104.2065
     430     -80.0208      83.0973
     431    -142.4843      76.6194
     432     -79.3366      81.3766
     433     -75.6013     101.5985
     434     -67.7601     108.9849
     435    -130.2313      80.8710
     436    -104.1484     109.6172
     437    -122.7396      85.5078
     438     -84.2104      93.8021
     439    -104.5659      95.1111
     440     -79.8239     123.9761
     441     -88.1590      95.3925
     442     -75.1868      94.8735
     443     -89.5241      76.8372
     444    -134.8258      69.7750
     445    -133.6476      64.4161
     446    -130.1172      71.5391
     447     -90.8172     110.6097
     448     -79.0868     107.7551
     449     -85.3351     103.6923
     450    -119.0867      82.7511
     451    -140.5748      71.7460
     452    -107.9946      65.8298
     453     -94.5463      76.7969
     454     -71.0061      97.5420
     455     -81.8699     105.0256
     456    -124.9860      93.2923
     457     -81.2657      96.1159
     458    -121.3778      62.5034
     459    -126.2931      86.4496
     460    -100.3604     103.8374
     461    -149.1018      70.7814
     462     -93.7234      91.4394
     463    -119.1456      93.6777
     464    -111.2965      75.4187
     465     -84.8011      88.7779
     466    -100.5862      84.1132
     467     -95.7495      75.9980
     468     -86.0747      80.3607
     469    -138.8545      72.6015
     470    -106.8629      86.2810
     471    -120.7487      73.6399
     472    -145.4089      87.9113
     473     -92.2356      94.2014
     474     -87.4267      71.9006
     475    -103.5050      68.8016
     476    -106.0141      58.5036
     477     -86.7089      78.4698
     478     -67.0922     100.6207
     479     -84.3724      88.9919
     480    -133.1312      68.1725
     481    -135.7744      76.8860
     482     -70.9837     107.3377
     483     -67.6028     126.4810
     484     -54.4554     100.8454
     485    -133.4137      72.5645
     486     -78.4613     125.5918
     487     -92.9497     101.7502
     488    -143.7557      73.9866
     489     -76.0533     111.0648
     490     -90.8812     103.4122
     491     -67.0675      98.8924
     492     -58.9071     101.4007
     493    -112.6932      80.8421
     494    -101.2337      51.2139
     495    -144.8387      66.8504
     496     -70.8764     111.0335
     497     -71.1322     111.2899
     498     -92.0519      98.9190
     499     -88.3816      92.4369
     500    -154.7086      82.2239
     501    -135.5509      59.7842
     502    -128.2683      84.7104
     503    -111.2303      84.0544
